rho(fm-3),eps(MeV/fm3),P(MeV/fm3),x_p
1.505000000000000088e-02,1.448991109094747820e+01,-3.022791852883243702e-01,3.339694515889668047e-03
2.257500000000000132e-02,2.151825604830588645e+01,-2.171678138036479966e-01,6.067427487826807832e-03
3.010000000000000175e-02,2.857397286844290107e+01,-1.401519983399643621e-01,9.247611674827380807e-03
3.762500000000000566e-02,3.564988507392639150e+01,-5.958211819846159080e-02,1.274389094443731212e-02
4.515000000000000263e-02,4.274334172770122819e+01,2.993861596816708298e-02,1.643453119294334061e-02
5.267499999999999960e-02,4.985334180541053684e+01,1.309531437103016449e-01,2.021351777057622118e-02
6.020000000000000351e-02,5.697913007120324380e+01,2.443638988221720487e-01,2.399441575641952581e-02
6.772500000000000742e-02,6.412040522035155732e+01,3.703274052922976289e-01,2.770721628409889004e-02
7.525000000000001132e-02,7.127671307991209915e+01,5.085926127891077231e-01,3.129751161520427649e-02
8.277499999999998748e-02,7.844857027574684594e+01,6.590179402295783806e-01,3.472245449417604019e-02
9.029999999999999138e-02,8.563449125191880285e+01,8.210979276988880082e-01,3.795924333759759239e-02
9.782499999999999529e-02,9.283459532863163588e+01,9.949905454136046545e-01,4.099005140415695053e-02
1.053499999999999992e-01,1.000495588534668627e+02,1.181164521676922430e+00,4.380296621086181286e-02
1.128750000000000031e-01,1.072790838989673858e+02,1.379421127169351502e+00,4.641534241269845013e-02
1.204000000000000070e-01,1.145289939687047109e+02,1.577455369752671643e+00,4.950828324102780897e-02
1.279250000000000109e-01,1.217924269499870746e+02,1.788287077828131677e+00,5.268725103733673532e-02
1.354500000000000148e-01,1.290683625757984885e+02,2.016130386326226098e+00,5.573701215900602607e-02
1.429750000000000187e-01,1.363575124817269000e+02,2.264771781120203276e+00,5.859487125226572890e-02
1.504999999999999949e-01,1.436603778877302204e+02,2.538196426209644585e+00,6.124054308162359128e-02
1.580250000000000266e-01,1.509776460470042139e+02,2.840838205411717166e+00,6.367510953913251004e-02
1.655500000000000027e-01,1.583095585931889389e+02,3.177672415910776316e+00,6.591034758456763842e-02
1.730750000000000066e-01,1.656586914944686271e+02,3.554593867046714539e+00,6.796804136514342232e-02
1.806000000000000105e-01,1.730245962668097093e+02,3.977699310905875141e+00,6.987018076633828845e-02
1.881250000000000144e-01,1.804090472452558913e+02,4.453967356381497211e+00,7.164540800111093843e-02
1.956500000000000183e-01,1.878140662927635276e+02,4.991290047355894544e+00,7.332319276403936881e-02
2.031749999999999945e-01,1.952407684596293791e+02,5.597473336983303405e+00,7.493404888066258762e-02
2.106999999999999984e-01,2.026916064041349159e+02,6.281260890284940501e+00,7.650911808896176947e-02
2.182250000000000023e-01,2.101681323489007980e+02,7.051266370467545563e+00,7.807928437213755568e-02
2.257500000000000340e-01,2.176733347154796547e+02,7.915562868631468518e+00,7.967303832738699410e-02
2.332750000000000379e-01,2.252084089614382094e+02,8.882133581028636371e+00,8.131615542377515493e-02
2.408000000000000140e-01,2.327767305831618216e+02,9.957829867272037561e+00,8.303176550399579692e-02
2.483250000000000179e-01,2.403803681674361314e+02,1.114800039348229532e+01,8.483812201732372771e-02
2.558500000000000218e-01,2.480211356483331997e+02,1.245652559699110817e+01,8.674807068341652827e-02
2.633750000000000258e-01,2.557033957145874581e+02,1.388593029226216480e+01,8.877173014696672360e-02
2.709000000000000297e-01,2.634276864785857128e+02,1.543630683169462614e+01,9.091121280985017816e-02
2.784249999999999781e-01,2.711961788257344779e+02,1.710651669874250658e+01,9.316570699500709152e-02
2.859499999999999820e-01,2.790121646260179773e+02,1.889387386143208047e+01,9.553225299736423093e-02
2.934749999999999859e-01,2.868762949171555761e+02,2.079452937223168973e+01,9.800208508999874724e-02
3.010000000000000453e-01,2.947904935631544276e+02,2.280363751899018254e+01,1.005663279007172756e-01
3.085250000000000492e-01,3.027566209038421334e+02,2.491599140653843492e+01,1.032143646819174698e-01
3.160499999999999976e-01,3.107744929189734080e+02,2.712557732157096879e+01,1.059343883333150743e-01
3.235750000000000570e-01,3.188468399562259492e+02,2.942686057475639316e+01,1.087155451782600424e-01
3.311000000000000054e-01,3.269737470207007277e+02,3.181387666240262746e+01,1.115468070110651050e-01
3.386250000000000093e-01,3.351555120265301184e+02,3.428093981740610730e+01,1.144170258706899979e-01
3.461500000000000132e-01,3.433933768822125217e+02,3.682269822385869418e+01,1.173170695367416749e-01
3.536750000000000171e-01,3.516874151682958995e+02,3.943418693071524928e+01,1.202376014199945248e-01
3.612000000000000210e-01,3.600371097208249012e+02,4.211049254699648259e+01,1.231703538258321351e-01
3.687250000000000250e-01,3.684426618552278683e+02,4.484722986196371863e+01,1.261082207840460712e-01
3.762500000000000289e-01,3.769062147850457904e+02,4.764067896504070632e+01,1.290457289932621932e-01
3.837750000000000328e-01,3.854246342804707979e+02,5.048667503585964766e+01,1.319764660780004262e-01
3.912999999999999812e-01,3.940007901264867769e+02,5.338237944348783515e+01,1.348956345042737204e-01
3.988250000000000406e-01,4.026314381607297719e+02,5.632414341795379187e+01,1.377990914480159979e-01
4.063499999999999890e-01,4.113198004304566098e+02,5.930963831609999204e+01,1.406840726802165153e-01
4.138750000000000484e-01,4.200622836032623013e+02,6.233590222073070919e+01,1.435465662635777850e-01
4.213999999999999968e-01,4.288614881524250677e+02,6.540100359997217083e+01,1.463846280136021083e-01
4.289250000000000007e-01,4.377152033004187501e+02,6.850251190723480477e+01,1.491957403783082392e-01
4.364500000000000601e-01,4.466226739511267851e+02,7.163846417513147458e+01,1.519780159080978410e-01
4.439750000000000085e-01,4.555860484525382503e+02,7.480752780086716314e+01,1.547300396081474072e-01
4.515000000000000679e-01,4.646019799859133741e+02,7.800756791499456710e+01,1.574508065961177372e-01
4.590250000000000163e-01,4.736728915955126809e+02,8.123762561420393524e+01,1.601386349550198984e-01
